"","recipe","Source","Page","Type","Cuisine","diet","Ingredients","makeability","Needed"
"1","summer squash and parmesan tart","Salt, Fat, Acid, Heat",399,"main","western","Vegetarian","<span style='color: #CD2626;'>summer squash</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>pine nuts</span>, <span style='color: #CD2626;'>puff pastry</span>",5,2
"2","rhubarb and frangipane tart","Salt, Fat, Acid, Heat",399,"dessert","western","Vegetarian","<span style='color: #CD2626;'>rhubarb</span>, <span style='color: #CD2626;'>frangipane</span>, <span style='color: #CD2626;'>puff pastry</span>",5,3
"3","plum and frangipane tart","Salt, Fat, Acid, Heat",399,"dessert","western","Vegetarian","<span style='color: #CD2626;'>puff pastry</span>, <span style='color: #CD2626;'>frangipane</span>, <span style='color: #CD2626;'>plums</span>",5,3
"4","caramelized onion tart","Salt, Fat, Acid, Heat",399,"main","western","Vegetarian","<span style='color: #CD2626;'>pie dough</span> or <span style='color: #CD2626;'>puff pastry</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>onion</span>",5,1
"5","apple and frangipane tart","Salt, Fat, Acid, Heat",397,"dessert","western","Vegetarian","<span style='color: #CD2626;'>pie dough</span> or <span style='color: #CD2626;'>puff pastry</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #CD2626;'>apple</span>, <span style='color: #CD2626;'>heavy cream</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #CD2626;'>frangipane</span>",5,4
"6","frangipane","Salt, Fat, Acid, Heat",397,"ingredient","western","Vegetarian","<span style='color: #458B00;'>almonds</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #CD2626;'>almond paste</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>vanilla extract</span>, <span style='color: #458B00;'>almond extract</span>",5,1
"7","aaron's tart dough","Salt, Fat, Acid, Heat",395,"ingredient","western","Vegetarian","<span style='color: #CD2626;'>creme fraiche</span> or <span style='color: #CD2626;'>heavy cream</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>baking powder</span>, <span style='color: #458B00;'>butter</span>",5,1
"8","light and flaky buttermilk biscuits","Salt, Fat, Acid, Heat",392,"breakfast","western","Vegetarian","<span style='color: #458B00;'>buttermilk</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>baking powder</span>, <span style='color: #CD2626;'>heavy cream</span>",5,1
"9","all-butter pie dough","Salt, Fat, Acid, Heat",386,"ingredient","western","Vegetarian","<span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>white vinegar</span>",1,0
"10","persian beet yogurt","Salt, Fat, Acid, Heat",373,"sauce","middle eastern","Vegetarian","<span style='color: #CD2626;'>tarragon</span> or <span style='color: #458B00;'>nigella seeds</span> or <span style='color: #CD2626;'>beets</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: #CD2626;'>mint</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>red wine vinegar</span>",5,3
"11","persian spinach yogurt","Salt, Fat, Acid, Heat",372,"sauce","middle eastern","Vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>spinach</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>lemon</span>",3,1
"12","persian herb and cucumber yogurt","Salt, Fat, Acid, Heat",371,"sauce","middle eastern","Vegetarian","<span style='color: #CD2626;'>mint</span> or <span style='color: #CD2626;'>dill</span> or <span style='color: #CD2626;'>parsley</span> or <span style='color: #458B00;'>cilantro</span> or <span style='color: #458B00;'>raisins</span> or <span style='color: #CD2626;'>golden raisins</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>cucumber</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>walnuts</span>, <span style='color: #458B00;'>olive oil</span>",1,0
"13","indian carrot raita","Salt, Fat, Acid, Heat",370,"sauce","indian","Vegetarian","<span style='color: orange;'>ghee</span> or <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #CD2626;'>mint</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>black mustard seed</span>, <span style='color: #458B00;'>coriander</span>",5,3
"14","herbed yogurt","Salt, Fat, Acid, Heat",370,"sauce","middle eastern","Vegetarian","<span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #CD2626;'>mint</span>, <span style='color: #458B00;'>olive oil</span>",5,2
"15","argentinian chimichurri","Salt, Fat, Acid, Heat",369,"sauce","latin","Vegan","<span style='color: #458B00;'>oregano</span> or <span style='color: #458B00;'>dried oregano</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>red wine vinegar</span>",5,1
"16","sicilian oregano sauce","Salt, Fat, Acid, Heat",369,"sauce","mediterranean","Vegan","<span style='color: #458B00;'>oregano</span> or <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>lemon</span>",5,1
"17","indian coconut cilantro chutney","Salt, Fat, Acid, Heat",368,"sauce","indian","Vegan","<span style='color: #CD2626;'>coconut</span> or <span style='color: #CD2626;'>frozen grated coconut</span> or <span style='color: #458B00;'>unsweetened coconut chips</span>, <span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>lime</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #CD2626;'>mint</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>sugar</span>",5,3
"18","north african charmoula","Salt, Fat, Acid, Heat",367,"sauce","mediterranean","Vegan","<span style='color: #458B00;'>mayonnaise</span> or <span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>lime</span>",5,1
"19","meyer lemon salsa","Salt, Fat, Acid, Heat",366,"sauce","western","Vegan","<span style='color: orange;'>meyer lemon</span> or <span style='color: #458B00;'>preserved lemon</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>olive oil</span>",5,2
"20","japanese-ish herb salsa","Salt, Fat, Acid, Heat",365,"sauce","asian","Vegan","<span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>rice wine vinegar</span>",5,1
"21","southeast asian-ish herb salsa","Salt, Fat, Acid, Heat",364,"sauce","asian","Vegan","<span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>lime</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>canola oil</span>",5,1
"22","mexican-ish herb salsa","Salt, Fat, Acid, Heat",363,"sauce","latin","Vegan","<span style='color: #458B00;'>pomegranate</span> or <span style='color: #458B00;'>pepitas</span> or <span style='color: #458B00;'>cucumber</span> or <span style='color: #CD2626;'>jicama</span> or <span style='color: #458B00;'>mango</span> or <span style='color: #CD2626;'>avocado</span> or <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>lime</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>canola oil</span>",5,1
"23","classic french herb salsa","Salt, Fat, Acid, Heat",362,"sauce","western","Vegan","<span style='color: #458B00;'>lemon</span> or <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #CD2626;'>chervil</span>, <span style='color: #CD2626;'>chives</span>, <span style='color: #458B00;'>basil</span>, <span style='color: #CD2626;'>tarragon</span>, <span style='color: #458B00;'>olive oil</span>",5,4
"24","basic salsa verde","Salt, Fat, Acid, Heat",360,"sauce","western","Vegan","<span style='color: #458B00;'>bread crumbs</span> or <span style='color: #458B00;'>almonds</span> or <span style='color: #458B00;'>red pepper flakes</span> or <span style='color: #458B00;'>lemon</span> or <span style='color: #458B00;'>garlic</span> or <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>olive oil</span>",5,1
"25","chicken with vinegar","Salt, Fat, Acid, Heat",336,"main","western","Non-vegetarian","<span style='color: #CD2626;'>heavy cream</span> or <span style='color: #CD2626;'>creme fraiche</span>, <span style='color: #458B00;'>whole chicken</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #CD2626;'>white wine</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #CD2626;'>tarragon</span>",5,3
"26","sage and honey smoked chicken","Salt, Fat, Acid, Heat",330,"main","western","Non-vegetarian","<span style='color: #458B00;'>whole chicken</span>, <span style='color: #458B00;'>honey</span>, <span style='color: #CD2626;'>sage</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>black pepper</span>",5,1
"27","finger lickin' pan fried chicken","Salt, Fat, Acid, Heat",328,"main","western","Non-vegetarian","<span style='color: #458B00;'>bread crumbs</span> or <span style='color: #458B00;'>panko</span>, <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>butter</span>",1,0
"28","spicy (or not) fried chicken","Salt, Fat, Acid, Heat",320,"main","western","Non-vegetarian","<span style='color: #458B00;'>hot sauce</span> or <span style='color: #458B00;'>whole chicken</span> or <span style='color: #458B00;'>chicken thigh</span> or <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>buttermilk</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>dark brown sugar</span>, <span style='color: #458B00;'>smoked paprika</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>garlic</span>",1,0
"29","tuna confit","Salt, Fat, Acid, Heat",314,"main","western","Non-vegetarian","<span style='color: #458B00;'>red pepper flakes</span> or <span style='color: #CD2626;'>canned tuna</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>black pepper</span>",5,1
"30","chicken pot pie samin","Salt, Fat, Acid, Heat",322,"meal","western","Non-vegetarian","<span style='color: #CD2626;'>white wine</span> or <span style='color: #458B00;'>sherry</span>, <span style='color: #CD2626;'>puff pastry</span> or <span style='color: #CD2626;'>pie dough</span>, <span style='color: #458B00;'>whole chicken</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #CD2626;'>celery</span>, <span style='color: #CD2626;'>mushrooms</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: orange;'>thyme</span>, <span style='color: #CD2626;'>heavy cream</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>peas</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>egg</span>",5,7
"31","beer battered fish","Salt, Fat, Acid, Heat",312,"main","western","Non-vegetarian","<span style='color: #CD2626;'>rice flour</span> or <span style='color: #CD2626;'>tartar sauce</span> or <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>baking powder</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>cod</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>vodka</span>, <span style='color: #458B00;'>lager</span>",1,0
"32","pasta al ragu","Salt, Fat, Acid, Heat",297,"main","mediterranean","Non-vegetarian","<span style='color: #458B00;'>parmesan rind</span> or <span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>ground beef</span>, <span style='color: #CD2626;'>ground pork</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #CD2626;'>celery</span>, <span style='color: #458B00;'>red wine</span>, <span style='color: #458B00;'>whole milk</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>orange</span>, <span style='color: #458B00;'>cinnamon</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: #458B00;'>nutmeg</span>, <span style='color: #458B00;'>pasta</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>parmesan</span>",5,3
"33","fava bean and dill rice","Salt, Fat, Acid, Heat",287,"side","middle eastern","Vegetarian","<span style='color: #458B00;'>basmati rice</span>, <span style='color: #CD2626;'>dill</span>, <span style='color: #CD2626;'>fava beans</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>canola oil</span>",5,2
"34","persian-ish rice","Salt, Fat, Acid, Heat",284,"side","middle eastern","Vegetarian","<span style='color: #458B00;'>basmati rice</span>, <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>parsley</span> or <span style='color: #458B00;'>cilantro</span> or <span style='color: #CD2626;'>dill</span> or <span style='color: #458B00;'>canola oil</span>",1,0
"35","silky sweet corn soup","Salt, Fat, Acid, Heat",276,"soup","western","Vegetarian","<span style='color: #CD2626;'>corn on the cob</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>",5,1
"36","snap peas wit chiles and mint","Salt, Fat, Acid, Heat",260,"side","western","Vegan","<span style='color: #CD2626;'>snap peas</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>mint</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>red pepper flakes</span>",5,2
